epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,34122.6,1.46487,1.24701,1.52422,0.72682,0.62341,0.6963,0.38035,1.49986,1.13836,1.50906,0.00651025,0.00651025,0.00651025
143,34363.1,1.46003,1.25435,1.51836,0.73049,0.62167,0.69641,0.38038,1.499,1.13852,1.50888,0.0064855,0.0064855,0.0064855
144,34603.2,1.45139,1.24972,1.51448,0.73218,0.62081,0.69669,0.38051,1.49932,1.13857,1.5084,0.00646075,0.00646075,0.00646075
145,34843.3,1.46525,1.25261,1.51771,0.72995,0.62253,0.69696,0.3807,1.49911,1.1379,1.50834,0.006436,0.006436,0.006436
146,35083.7,1.47568,1.24902,1.52664,0.7303,0.62282,0.69587,0.38091,1.49855,1.1359,1.50736,0.00641125,0.00641125,0.00641125
147,35324,1.4651,1.2427,1.51557,0.73124,0.62231,0.69706,0.38102,1.49818,1.13656,1.50727,0.0063865,0.0063865,0.0063865
148,35564.5,1.46886,1.23589,1.51294,0.73265,0.62089,0.69678,0.38113,1.49833,1.13444,1.50697,0.00636175,0.00636175,0.00636175
149,35805,1.44996,1.2232,1.50983,0.73136,0.61952,0.69607,0.38138,1.49839,1.1339,1.50705,0.006337,0.006337,0.006337
150,36045.4,1.46257,1.23608,1.51448,0.72924,0.61866,0.69592,0.38154,1.49803,1.13363,1.50627,0.00631225,0.00631225,0.00631225
151,36285.7,1.44792,1.24004,1.51456,0.73001,0.62038,0.69645,0.38174,1.49761,1.13242,1.50569,0.0062875,0.0062875,0.0062875
152,36526.2,1.45604,1.22592,1.51255,0.73096,0.62025,0.6959,0.38154,1.49794,1.13171,1.50568,0.00626275,0.00626275,0.00626275
153,36766.5,1.45794,1.24828,1.51539,0.73014,0.62081,0.69548,0.38197,1.49766,1.13106,1.50564,0.006238,0.006238,0.006238
154,37007.2,1.45268,1.23769,1.50584,0.7311,0.62067,0.69653,0.38181,1.49727,1.13024,1.50507,0.00621325,0.00621325,0.00621325
155,37247.9,1.46088,1.22362,1.50956,0.72987,0.61995,0.69658,0.38219,1.4969,1.12936,1.50462,0.0061885,0.0061885,0.0061885
156,37488.5,1.44057,1.21033,1.49366,0.73109,0.61866,0.69618,0.38209,1.4971,1.12923,1.50466,0.00616375,0.00616375,0.00616375
157,37729.1,1.44902,1.22277,1.50852,0.73152,0.61866,0.6965,0.38179,1.49667,1.12783,1.50374,0.006139,0.006139,0.006139
158,37969.4,1.44775,1.23166,1.50802,0.73197,0.61909,0.6969,0.38184,1.49617,1.12846,1.50331,0.00611425,0.00611425,0.00611425
159,38209.9,1.43703,1.21621,1.49566,0.73202,0.62007,0.69707,0.38214,1.496,1.12751,1.50308,0.0060895,0.0060895,0.0060895
160,38450.2,1.44886,1.21916,1.50408,0.73253,0.6205,0.69753,0.38271,1.49564,1.12735,1.50262,0.00606475,0.00606475,0.00606475
161,38690.7,1.44503,1.20318,1.49532,0.73472,0.61917,0.69731,0.38247,1.49479,1.12722,1.50131,0.00604,0.00604,0.00604
162,38930.7,1.434,1.20648,1.49489,0.7333,0.62179,0.69799,0.38293,1.49522,1.12643,1.5017,0.00601525,0.00601525,0.00601525
163,39171.5,1.44086,1.20756,1.49563,0.73884,0.61866,0.69818,0.38285,1.49477,1.12551,1.50105,0.0059905,0.0059905,0.0059905
164,39411.7,1.44105,1.20423,1.49333,0.73846,0.61866,0.69845,0.38315,1.49442,1.1249,1.50081,0.00596575,0.00596575,0.00596575
165,39652.2,1.44172,1.1961,1.49354,0.73671,0.61909,0.69765,0.38328,1.49455,1.12301,1.50115,0.005941,0.005941,0.005941
166,39893,1.43199,1.19756,1.4849,0.73702,0.62038,0.69849,0.3836,1.49393,1.12228,1.50034,0.00591625,0.00591625,0.00591625
167,40133.3,1.44396,1.20642,1.49172,0.7353,0.62124,0.69827,0.38401,1.49412,1.12128,1.49982,0.0058915,0.0058915,0.0058915
168,40373.6,1.43531,1.19601,1.49036,0.73676,0.62089,0.69873,0.38402,1.49353,1.12084,1.49935,0.00586675,0.00586675,0.00586675
169,40614,1.43937,1.20182,1.49599,0.73866,0.62081,0.69883,0.38401,1.49355,1.11968,1.49954,0.005842,0.005842,0.005842
170,40854.7,1.44655,1.20453,1.49228,0.73842,0.62296,0.69934,0.38431,1.49312,1.1186,1.49879,0.00581725,0.00581725,0.00581725
171,41095.1,1.44151,1.18078,1.49175,0.738,0.62425,0.70051,0.38444,1.49248,1.1174,1.49847,0.0057925,0.0057925,0.0057925
172,41335.3,1.42821,1.18819,1.48329,0.73963,0.62468,0.70093,0.38457,1.4919,1.11713,1.49812,0.00576775,0.00576775,0.00576775
173,41575.9,1.42379,1.1863,1.47935,0.7388,0.62468,0.70078,0.38498,1.49103,1.11596,1.49664,0.005743,0.005743,0.005743
174,41816.4,1.42709,1.17655,1.47111,0.7402,0.62554,0.70103,0.38521,1.49131,1.11516,1.49658,0.00571825,0.00571825,0.00571825
175,42056.8,1.42933,1.1787,1.47067,0.73993,0.62468,0.70135,0.3848,1.49109,1.11434,1.49623,0.0056935,0.0056935,0.0056935
176,42297.1,1.43745,1.18888,1.47518,0.7398,0.62425,0.70068,0.38541,1.49089,1.11326,1.49582,0.00566875,0.00566875,0.00566875
177,42537.6,1.44056,1.19903,1.4767,0.73969,0.62511,0.70132,0.38535,1.49091,1.11321,1.49534,0.005644,0.005644,0.005644
178,42778,1.43209,1.18522,1.47387,0.73771,0.62514,0.70178,0.38547,1.49061,1.11296,1.49446,0.00561925,0.00561925,0.00561925
179,43018.3,1.43404,1.17707,1.47708,0.73942,0.62425,0.70209,0.38556,1.49041,1.11256,1.49375,0.0055945,0.0055945,0.0055945
180,43258.8,1.41922,1.17922,1.46882,0.73582,0.62626,0.70144,0.38544,1.49049,1.11189,1.49341,0.00556975,0.00556975,0.00556975
181,43499.1,1.43214,1.17399,1.47142,0.73647,0.62511,0.70108,0.38601,1.49025,1.11247,1.49314,0.005545,0.005545,0.005545
