epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,28370.3,1.44584,1.14834,1.45006,0.72767,0.62769,0.69541,0.38146,1.49568,1.05795,1.44807,0.00735175,0.00735175,0.00735175
109,28632.4,1.45483,1.16272,1.45783,0.72682,0.62898,0.69616,0.38225,1.49534,1.05773,1.44797,0.007327,0.007327,0.007327
110,28894.6,1.44974,1.15324,1.45785,0.72792,0.62898,0.69627,0.38209,1.49517,1.05735,1.44763,0.00730225,0.00730225,0.00730225
111,29157.1,1.45325,1.15666,1.45966,0.72792,0.62898,0.69715,0.38208,1.49478,1.05679,1.44765,0.0072775,0.0072775,0.0072775
112,29419.4,1.44471,1.14233,1.4525,0.72808,0.62769,0.69664,0.38138,1.49498,1.057,1.44798,0.00725275,0.00725275,0.00725275
113,29681.9,1.44783,1.14742,1.45559,0.72605,0.62781,0.69593,0.38205,1.49584,1.05628,1.44837,0.007228,0.007228,0.007228
114,29944.6,1.42435,1.12703,1.44087,0.72656,0.62855,0.69618,0.38243,1.49549,1.05562,1.44847,0.00720325,0.00720325,0.00720325
115,30208.2,1.44067,1.13942,1.45296,0.72302,0.62734,0.69318,0.38161,1.49612,1.05504,1.44924,0.0071785,0.0071785,0.0071785
116,30471.6,1.4335,1.13051,1.44622,0.7235,0.62435,0.69344,0.38222,1.49629,1.05462,1.44896,0.00715375,0.00715375,0.00715375
117,30734.6,1.44158,1.13008,1.45044,0.72257,0.62368,0.6932,0.38215,1.49703,1.05348,1.44926,0.007129,0.007129,0.007129
118,30997.5,1.45002,1.1339,1.46072,0.72186,0.62511,0.69443,0.38219,1.49695,1.05332,1.44932,0.00710425,0.00710425,0.00710425
119,31260.9,1.43688,1.13188,1.45409,0.72257,0.62147,0.694,0.382,1.49702,1.05227,1.44929,0.0070795,0.0070795,0.0070795
120,31523.9,1.43354,1.11872,1.44753,0.72401,0.62256,0.69443,0.38228,1.49686,1.05214,1.4491,0.00705475,0.00705475,0.00705475
121,31786.9,1.43717,1.12914,1.4449,0.72878,0.62081,0.69482,0.3827,1.49728,1.05153,1.44903,0.00703,0.00703,0.00703
122,32049.9,1.42729,1.12225,1.44227,0.72594,0.62405,0.6954,0.3832,1.497,1.05083,1.44955,0.00700525,0.00700525,0.00700525
123,32313.1,1.43867,1.12028,1.44438,0.72601,0.62425,0.69522,0.38306,1.49779,1.05054,1.44991,0.0069805,0.0069805,0.0069805
124,32575.9,1.43945,1.12407,1.45084,0.72391,0.62511,0.6956,0.38296,1.498,1.04942,1.45005,0.00695575,0.00695575,0.00695575
125,32838.9,1.42748,1.11183,1.43627,0.72296,0.62491,0.69633,0.38343,1.49727,1.0486,1.44986,0.006931,0.006931,0.006931
126,33102.5,1.43122,1.11116,1.44459,0.71981,0.62514,0.69655,0.38375,1.49791,1.04741,1.4501,0.00690625,0.00690625,0.00690625
127,33366,1.43399,1.12174,1.44407,0.72043,0.62683,0.69666,0.38344,1.49794,1.04668,1.45,0.0068815,0.0068815,0.0068815
128,33629.7,1.43538,1.11194,1.44234,0.72146,0.62597,0.69639,0.38428,1.49886,1.04583,1.45048,0.00685675,0.00685675,0.00685675
129,33892.1,1.42714,1.103,1.43837,0.72484,0.62253,0.69568,0.38382,1.49848,1.04549,1.45011,0.006832,0.006832,0.006832
130,34154.4,1.42176,1.09791,1.43723,0.72416,0.62296,0.69572,0.3841,1.49899,1.04447,1.45032,0.00680725,0.00680725,0.00680725
131,34416.8,1.42481,1.10984,1.44157,0.7226,0.62726,0.69624,0.38425,1.49847,1.04382,1.45026,0.0067825,0.0067825,0.0067825
132,34679.4,1.42501,1.10007,1.4391,0.72507,0.62468,0.69577,0.38451,1.4987,1.0431,1.45016,0.00675775,0.00675775,0.00675775
133,34942,1.42608,1.10643,1.44276,0.72723,0.62353,0.69625,0.38447,1.49887,1.0427,1.45018,0.006733,0.006733,0.006733
134,35204.6,1.41432,1.08702,1.43569,0.72646,0.6257,0.69713,0.38395,1.49879,1.04273,1.45053,0.00670825,0.00670825,0.00670825
135,35466.7,1.42155,1.08643,1.43417,0.7279,0.62726,0.69701,0.38447,1.49893,1.04167,1.4507,0.0066835,0.0066835,0.0066835
136,35729.1,1.41678,1.09819,1.43479,0.7068,0.64462,0.69761,0.38418,1.49928,1.04076,1.45083,0.00665875,0.00665875,0.00665875
137,35991.4,1.41509,1.08457,1.43717,0.70826,0.64359,0.69802,0.38445,1.49942,1.04094,1.45082,0.006634,0.006634,0.006634
138,36254,1.41528,1.08908,1.43376,0.70932,0.64415,0.69788,0.38469,1.4996,1.03976,1.45101,0.00660925,0.00660925,0.00660925
139,36516.7,1.40765,1.08605,1.42829,0.70717,0.64372,0.69878,0.38431,1.49975,1.0396,1.45155,0.0065845,0.0065845,0.0065845
140,36779.2,1.40275,1.07563,1.42482,0.70504,0.64359,0.69764,0.38488,1.49956,1.03956,1.45133,0.00655975,0.00655975,0.00655975
141,37041.9,1.41782,1.08619,1.42635,0.70718,0.64402,0.69828,0.38471,1.50007,1.03932,1.45125,0.006535,0.006535,0.006535
142,37305.2,1.40875,1.07784,1.43632,0.70525,0.646,0.69752,0.38478,1.49975,1.0385,1.45145,0.00651025,0.00651025,0.00651025
143,37568.6,1.40776,1.0801,1.43393,0.70376,0.64548,0.69805,0.38487,1.4998,1.03848,1.4516,0.0064855,0.0064855,0.0064855
144,37832.1,1.40372,1.07378,1.43185,0.70273,0.64574,0.69892,0.38525,1.49969,1.0378,1.45159,0.00646075,0.00646075,0.00646075
145,38095.2,1.41094,1.08228,1.43044,0.70905,0.64402,0.69894,0.38505,1.50036,1.03776,1.45197,0.006436,0.006436,0.006436
146,38358.3,1.42021,1.07893,1.43308,0.70913,0.64531,0.6987,0.38521,1.50037,1.03726,1.45199,0.00641125,0.00641125,0.00641125
147,38621.4,1.40479,1.0715,1.42088,0.71724,0.63887,0.69747,0.38523,1.50064,1.03726,1.45206,0.0063865,0.0063865,0.0063865
148,38884.8,1.41306,1.06446,1.42486,0.71197,0.64187,0.69691,0.38468,1.50028,1.03681,1.45175,0.00636175,0.00636175,0.00636175
149,39147.8,1.39564,1.04909,1.42048,0.71055,0.64273,0.69611,0.38464,1.50039,1.03643,1.45204,0.006337,0.006337,0.006337
150,39410.8,1.4031,1.0679,1.41737,0.71043,0.64446,0.69679,0.38508,1.50065,1.03688,1.45192,0.00631225,0.00631225,0.00631225
151,39674.1,1.39662,1.06542,1.41998,0.70763,0.64514,0.69671,0.38496,1.50038,1.03645,1.45181,0.0062875,0.0062875,0.0062875
152,39939.2,1.39782,1.05499,1.41808,0.70819,0.64488,0.69761,0.38527,1.50075,1.03629,1.45165,0.00626275,0.00626275,0.00626275
153,40203.1,1.40358,1.07157,1.42108,0.70688,0.64488,0.69753,0.38506,1.50163,1.03557,1.45168,0.006238,0.006238,0.006238
154,40466.7,1.39689,1.0601,1.41852,0.70663,0.64617,0.69759,0.38506,1.50088,1.03536,1.4514,0.00621325,0.00621325,0.00621325
155,40730.2,1.39698,1.04544,1.41572,0.70575,0.6466,0.6979,0.38519,1.50093,1.03522,1.45134,0.0061885,0.0061885,0.0061885
156,40993.4,1.38392,1.03942,1.41162,0.7086,0.6466,0.69831,0.38561,1.50095,1.03444,1.45109,0.00616375,0.00616375,0.00616375
157,41258.4,1.39086,1.05578,1.41806,0.70821,0.64703,0.69761,0.38549,1.50138,1.03486,1.45086,0.006139,0.006139,0.006139
158,41521.7,1.3909,1.0562,1.41463,0.70749,0.64789,0.69825,0.3857,1.50094,1.0343,1.4507,0.00611425,0.00611425,0.00611425
159,41785.5,1.3833,1.04347,1.41073,0.70952,0.64789,0.69928,0.38541,1.50102,1.0339,1.45069,0.0060895,0.0060895,0.0060895
160,42048.8,1.3941,1.04706,1.4126,0.71142,0.64746,0.6996,0.38563,1.50105,1.03292,1.45066,0.00606475,0.00606475,0.00606475
161,42312.7,1.38599,1.02937,1.4045,0.7101,0.65047,0.69888,0.38553,1.50141,1.033,1.45056,0.00604,0.00604,0.00604
162,42575.8,1.38329,1.03549,1.40848,0.71221,0.65133,0.69968,0.38552,1.50146,1.03275,1.4505,0.00601525,0.00601525,0.00601525
163,42839.5,1.38413,1.03788,1.40778,0.71264,0.65176,0.69907,0.38535,1.50078,1.03191,1.45,0.0059905,0.0059905,0.0059905
164,43102.8,1.38603,1.03379,1.40973,0.71499,0.64819,0.69869,0.38529,1.50081,1.03153,1.44985,0.00596575,0.00596575,0.00596575
165,43366.1,1.38098,1.02887,1.40646,0.71579,0.6475,0.7001,0.38589,1.50063,1.03079,1.44962,0.005941,0.005941,0.005941
166,43629.3,1.37506,1.02463,1.40202,0.71573,0.64789,0.69996,0.38584,1.50014,1.03075,1.44938,0.00591625,0.00591625,0.00591625
167,43892.6,1.38559,1.0258,1.40621,0.7158,0.64918,0.69963,0.38597,1.49978,1.02999,1.44922,0.0058915,0.0058915,0.0058915
168,44156.1,1.37671,1.01932,1.40355,0.71779,0.64617,0.69932,0.38581,1.49955,1.02963,1.4493,0.00586675,0.00586675,0.00586675
169,44421,1.37821,1.0194,1.40345,0.71796,0.64462,0.6991,0.38623,1.5,1.02941,1.44924,0.005842,0.005842,0.005842
170,44684.5,1.37967,1.02372,1.40161,0.7157,0.64445,0.69865,0.38595,1.50006,1.02868,1.44928,0.00581725,0.00581725,0.00581725
171,44948.6,1.37583,1.01452,1.4061,0.71662,0.6447,0.6985,0.38606,1.49968,1.02869,1.44903,0.0057925,0.0057925,0.0057925
172,45210.9,1.36423,1.01419,1.3955,0.71559,0.64468,0.69887,0.38635,1.4999,1.02826,1.44876,0.00576775,0.00576775,0.00576775
173,45473.1,1.36628,1.01333,1.40037,0.71465,0.64617,0.69889,0.38583,1.49941,1.02771,1.44843,0.005743,0.005743,0.005743
174,45735.7,1.36126,1.0053,1.39419,0.71387,0.64918,0.69898,0.386,1.49966,1.02681,1.44891,0.00571825,0.00571825,0.00571825
175,45997.7,1.36639,1.00459,1.39566,0.71573,0.64946,0.69963,0.38663,1.49983,1.02668,1.44899,0.0056935,0.0056935,0.0056935
